source,target,distance,weight
30,10,2519.2526871883874,0.3538582375208532
30,46,2626.08661484747,0.3386074571857553
30,12,2739.7974705879556,0.3230964184590633
30,13,4100.450649579717,0.18435460661281736
31,33,1334.959229288826,0.5766646857149132
31,1,2187.679360220258,0.4057051100861871
31,5,2963.7574064382065,0.29459363626816704
31,6,3098.7405119288364,0.2786437835701578
31,9,3917.189132280512,0.19882643878524292
32,34,601.6680179878358,0.7802752252282206
32,15,1102.9462124211439,0.6345624339300138
32,23,1314.1773976058867,0.5816277996446173
32,14,1717.8514496591138,0.4924379723155075
32,25,1978.1241822747077,0.4423230031725216
33,31,1334.959229288826,0.5766646857149132
33,5,2964.206801724033,0.2945390483578263
33,1,3520.8027861182054,0.2341329875723578
33,9,3581.9985194291444,0.228298531616994
33,6,4294.870477971716,0.17015139833049056
34,32,601.6680179878358,0.7802752252282206
34,23,713.4656939452756,0.7451197464869689
34,15,1213.1088868442782,0.6063807758730503
34,14,1372.278417312668,0.5678581939241303
34,25,1376.5069532845716,0.5668688753215865
35,44,1182.4796519401016,0.6140882482543173
35,22,4653.0422936371815,0.1467881021201048
35,43,6895.956566271558,0.05821157670865503
35,41,7006.92189567357,0.055607924004411
35,21,7108.485258334617,0.05332707841698503
36,41,997.4185650459508,0.6627858217048483
36,21,1178.5690669040775,0.6150793256604983
36,25,1676.8744873784303,0.5008296841319654
36,43,1824.2233923454862,0.4713043836163013
36,14,2198.029891313549,0.4039771589995497
37,45,560.7832200418958,0.7935418566707736
37,42,995.3672957268848,0.6633466945617134
37,17,1412.2274129886673,0.5585801100377379
37,18,1787.9125202924447,0.4784145291883165
37,24,2390.130849890636,0.37321030197880267
38,40,834.3305982186631,0.7088926707699869
38,39,2114.944063635704,0.41805803656883955
38,16,3527.6859912875507,0.23346936377641764
38,11,4320.665631996138,0.168351074142564
38,26,6177.089989354602,0.0782979748086785
39,40,1393.0981927298144,0.5630037687630731
39,38,2114.944063635704,0.41805803656883955
39,16,3113.6780119635696,0.2769326842089597
39,11,3404.2360183263813,0.24566226066924973
39,26,4268.703923016003,0.17199731497608808
40,38,834.3305982186631,0.7088926707699869
40,39,1393.0981927298144,0.5630037687630731
40,16,2907.4868234190803,0.30150936706671805
40,11,4177.568705140815,0.17858418295297662
40,26,5615.205257153219,0.09871382004628615
41,21,390.1644752996185,0.8513846116784652
41,36,997.4185650459508,0.6627858217048483
41,25,1158.308936942079,0.6202396100895176
41,23,1822.988316463908,0.47154448272923144
41,43,1915.5265071423903,0.45388944835582856
42,45,523.9479349542837,0.8056875213048121
42,17,995.0175831301065,0.6634423628485713
42,37,995.3672957268848,0.6633466945617134
42,18,2017.0929056858142,0.4352719209849696
42,24,2329.9363678235095,0.3825901624675664
43,36,1824.2233923454862,0.4713043836163013
43,41,1915.5265071423903,0.45388944835582856
43,21,2305.416508337037,0.386478232528651
43,25,3065.714749973366,0.28246452523514226
43,23,3731.3813511355083,0.21465958315768655
44,35,1182.4796519401016,0.6140882482543173
44,22,3472.33205516132,0.2388598670748596
44,41,5945.959601853975,0.08612782133851137
44,21,6018.79516802513,0.08357943015132216
44,43,6035.018570532496,0.0830221490978432
45,42,523.9479349542837,0.8056875213048121
45,37,560.7832200418958,0.7935418566707736
45,17,1303.7581819573832,0.5841321687480134
45,18,2054.0801665158,0.4286833707670197
45,24,2521.1485662842674,0.3535816993856461
46,30,2626.08661484747,0.3386074571857553
46,27,3938.2988907472,0.19710316872821368
46,8,4442.421257928142,0.16010717198700594
46,10,4577.118932889274,0.15145649476470147
46,9,4955.116870466858,0.1295962968720568
47,20,543.4162940389634,0.7992452545677909
47,19,1869.0074661126946,0.46268043989228147
47,29,2253.2523200208398,0.3948817618667455
47,28,2366.432040496464,0.37687542718325234
47,16,4862.215483086383,0.1346573978013918
