source,target,weight
97,14,0.6105380180855418
97,242,0.6074456993182082
98,109,0.2656309085730106
98,104,0.265611021401239
98,310,0.26190240735824527
98,328,0.22000060037608776
98,107,0.21205445974590267
99,222,0.17803197246178185
99,154,0.13886355909785594
99,386,0.126657000551444
99,416,0.12503935692234894
99,234,0.11829253580940848
100,44,0.4999424390535148
100,1,0.48109056889442003
100,111,0.47808392785226994
100,88,0.45684361011720936
100,242,0.45226744608579644
101,83,0.5450140844813386
101,340,0.4991960596239393
101,189,0.155896887541163
101,190,0.13620907332728063
101,145,0.135223414718368
102,83,0.16250768523394984
102,442,0.14511380048156536
102,103,0.12859300007576244
102,143,0.12794557001066933
102,286,0.12713903339208224
103,1,0.38027990501931086
103,52,0.3569963254145854
103,371,0.35089531295217413
103,111,0.32852381589821755
103,227,0.3236034537673144
104,109,0.35972486683898836
104,107,0.358873351758035
104,128,0.35306055703806677
104,304,0.3406003650736175
104,279,0.3342059513783793
105,97,0.4760358560549942
105,1,0.46878841494187745
105,111,0.4501469962603128
105,3,0.44301725057776264
105,41,0.4233402354384655
106,320,0.16983489825838993
106,107,0.16126538384007233
106,126,0.15786095623827756
106,356,0.147216908305807
106,310,0.14489508401063944
107,109,0.43306544059767027
107,128,0.41690356605924644
107,279,0.38613539776929046
107,356,0.38516220426967973
107,451,0.3756904089334605
108,111,0.22042024595015505
108,1,0.21524236055903084
108,97,0.21009816575371362
108,253,0.20760158160577682
108,391,0.19378673671624969
109,107,0.43306544059767027
109,128,0.425876177811907
109,356,0.37788726566688635
109,279,0.3674114448486971
109,104,0.35972486683898836
110,416,0.14346045401120658
110,294,0.14008467256982263
110,386,0.13716630682835443
110,0,0.13193494912136453
110,97,0.1290613477613298
111,1,0.8057644305480124
111,3,0.7136751235607189
111,97,0.6886026894354654
111,14,0.6777030669762287
111,242,0.6650518158759944
112,391,0.15427181821953806
112,261,0.1218196179476049
112,35,0.09876649174445154
112,429,0.09508706060643712
112,467,0.09364800774366314
113,404,0.42256151238153977
113,447,0.3008140369745019
113,85,0.22718037020394516
113,332,0.13575316409937527
113,418,0.13294361526753598
114,419,0.17728518494059073
114,233,0.16657498244644836
114,239,0.15166760289929454
114,429,0.13738679492573835
114,98,0.13568720316612323
115,57,0.14115922649475343
115,52,0.1408926140577963
115,68,0.14083710165654006
115,206,0.12755501522149051
115,121,0.12663533747680272
116,47,0.19580135029300635
116,97,0.19202130247183125
116,3,0.1909289614943815
116,316,0.1874122135664531
116,84,0.18678449711487088
117,136,0.16656681186023695
117,134,0.15663789166248523
117,44,0.15109285782527265
117,173,0.14793280608040096
117,227,0.14567908186327433
118,156,0.12047061011207204
118,83,0.11230497070692254
